seed,gt_map,s,along_track_err_m,lateral_err_m,num_inliers,residual,lambda_along_raw,lambda_along_cal,lambda_min_raw,lambda_min_cal,ratio
0,0,36.5,-0.44046197556451716,0.002654551293363571,1053,15.850164291135105,606.259985622045,40047.16880450855,605.7193630163042,40011.45738487821,0.001875388198243647
0,0,37.0,-0.4534089235481389,0.003881580418381921,992,15.09986946336626,567.7794137394434,37075.18818657963,567.4595944119328,37054.304439359796,0.0017469168810165777
0,0,37.5,-0.45020354621942005,0.0032640141218745807,1026,14.478855007791427,587.452541137465,41384.59785927611,586.7448076302244,41334.73976089768,0.0017828563611751666
0,0,38.0,-0.45408208038566755,0.0034027168087690687,1014,12.951721621160855,580.617032595558,45187.966972676935,580.5662090555742,45184.01150406803,0.001773853735188016
0,0,38.5,-0.49160746577757664,0.002930739177125971,1031,13.469867367311746,580.2071107340079,44151.30990417822,580.029645285031,44137.805533256,0.0017710291992778882
0,0,39.0,-0.4935995373227584,0.0026636006418641425,1049,13.79023552209479,600.8068692954525,45440.961734928205,599.8925312018808,45371.8073952458,0.0018555389760196183
0,0,39.5,-0.5013751712128283,0.002465460852200703,1070,18.590539243067813,624.7239940039311,35755.08601064618,624.3058190438909,35731.15243068567,0.0019409155291953844
0,0,40.0,-0.5142499542692178,0.004155383800772427,1031,13.699311196262713,592.2296734352094,44311.38227129945,591.8536597443679,44283.24844562085,0.001819199024150063
0,0,40.5,-0.5434515755362739,0.0028965198058156436,1078,13.026056133477972,629.9785046671564,51845.08266224367,629.6375253957054,51817.021230967024,0.0019094008254407226
0,0,41.0,-0.547212516732067,0.002825062931213522,1047,14.64066008639892,594.1846443072586,42248.51960728749,594.094211928144,42242.08956205027,0.0018223522160965492
0,0,41.5,-0.5512104840082586,0.0025282620899145206,1004,10.688213900880559,562.5057421289825,52523.34354933472,561.9972215399184,52475.86100897836,0.001719659665654202
0,0,42.0,-0.565679101766861,0.0030355992726624707,977,10.37662301993365,533.9463547178412,49964.41611447681,533.8228229425633,49952.85653930823,0.0016191055927603818
0,0,42.5,-0.5608868476970912,0.002374016198338851,1048,11.421357559029742,603.3065789749943,55041.22010390403,603.1801089576758,55029.6819170147,0.0018355526015922201
0,0,43.0,-0.5547267687966055,0.0030334787423404322,972,11.437372948142855,528.8468671932646,44666.38239611183,528.815789930838,44663.75761193803,0.0015962676298851293
0,0,43.5,-0.5504269950134599,0.0026647094606782407,1045,12.89153477112021,607.0725898425703,48927.33348239045,607.031951731175,48924.058232508316,0.0018353084578673492
0,0,44.0,-0.5306750967752336,0.0023345866278167474,1047,14.14511940131783,607.0322454490594,44674.106282453715,606.9811197851363,44670.3437255863,0.0018333587579440265
0,0,44.5,-0.550758595792999,0.0023806475796529503,1031,16.235130128306317,582.4901714061094,36775.33970918335,582.031811667508,36746.401306574095,0.001767673910438889
0,0,45.0,-0.5733874323762791,0.0034032553543555224,1041,14.429508896970336,596.6520805347702,42796.66811689943,596.0273112984089,42751.854661067286,0.0018062573857626028
0,0,45.5,-0.5695123465422327,0.0022374463303802654,1027,11.509418495957066,581.4571483588268,51581.03762435095,580.9851686480897,51539.16832532148,0.0017582743619928294
0,0,46.0,-0.5640875538427892,0.004005923915345595,1040,14.268135313260041,581.797622322584,42162.39391299273,581.7711508609641,42160.47554799871,0.001760569717546223
