platform,policy,seed,world,length_m,range_scale,odom_scale,marker_height_m,fov_deg,sensor_range_m,odom_scale_sigma,ratio_threshold,final_along_m,final_lateral_m,final_rot_rad,markers_placed,path_length_m,mission_time_s,blind_fraction,mean_yaw_rate_dps,glance_fraction,scale_estimate,lead_time_median_s,lead_time_n,wall_time_s
drone,glance,1,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,1.9907152448056333,0.5145577788940304,0.009908377599104611,0,300.0,300.5,0.9315525876460768,4.335791947416786,0.051666666666666666,1.0,6.5,1,139.16768336296082
drone,glance,2,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.5166160443046021,0.8293061350334717,0.006471209015824583,0,300.0,300.5,0.9031719532554258,3.675,0.041666666666666664,1.0,4.0,1,147.557683467865
drone,glance,3,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,11.338544114208787,0.7215089656398828,0.010892914425110395,0,300.0,300.5,0.8864774624373957,0.9,0.01,1.0,3.5,1,140.63247084617615
drone,glance,4,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,3.0816267785789333,0.8107654222219266,0.008127155080667955,0,300.0,300.5,0.9365609348914858,2.775,0.03166666666666667,1.0,4.0,1,142.0819911956787
drone,glance,5,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,4.6025393393097715,0.5754556602848984,0.00880533622081959,0,300.0,300.5,0.9181969949916527,3.6,0.04,1.0,4.0,1,144.4866497516632
drone,glance,6,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,5.517652359684168,2.6776899322008814,0.012304630036964043,0,300.0,300.5,0.8864774624373957,1.8750000000000002,0.021666666666666667,1.0,4.0,1,139.17924165725708
drone,glance,7,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.06186939652084564,0.7219648587409515,0.0034842734367294464,0,300.0,300.5,0.9298831385642737,5.275944926235314,0.06166666666666667,1.0,4.0,1,138.3255956172943
drone,oracle,0,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.5068683223522755,0.49745524964567484,0.004419204204581964,0,300.0,300.5,0.9432387312186978,0.075,nan,1.0,4.0,1,85.51579976081848
drone,oracle,1,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,2.070508897373543,0.539523092942739,0.00912536099367345,0,300.0,300.5,0.9315525876460768,0.0,nan,1.0,6.5,1,86.1229305267334
drone,oracle,2,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.5823148592501228,0.9868805513032541,0.011399880598263336,0,300.0,300.5,0.9232053422370617,0.075,nan,1.0,4.0,1,87.63022661209106
drone,oracle,3,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,11.359328444447726,0.7278755502446844,0.009871346395430934,0,300.0,300.5,0.9015025041736227,0.0,nan,1.0,3.5,1,85.36755514144897
drone,oracle,4,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,3.852640353023901,0.40884682821819823,0.0013774376431904623,0,300.0,300.5,0.9465776293823038,0.0,nan,1.0,4.0,1,84.54081535339355
drone,oracle,5,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,4.595200971477141,0.567419018897759,0.007822737655111774,0,300.0,300.5,0.9265442404006677,0.0,nan,1.0,4.0,1,87.21082615852356
drone,oracle,6,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,5.940820212521032,0.568922467776379,0.00666372178845625,0,300.0,300.5,0.8848080133555927,0.0,nan,1.0,4.0,1,84.01218342781067
drone,oracle,7,blind,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.11906052284919759,0.5077925774754566,0.0012039116163084557,0,300.0,300.5,0.9382303839732888,0.049999999999999996,nan,1.0,4.0,1,84.42677879333496
drone,forward,0,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.38798973636499196,0.3767537606589444,0.01687854913387857,0,300.0,300.5,0.42237061769616024,0.19059581464947598,nan,1.0,8.0,5,86.14490962028503
drone,forward,1,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,1.0213965598303285,0.5032747434949044,0.006602004843615889,0,300.0,300.5,0.3756260434056761,0.12718648451651982,nan,1.0,5.5,6,82.95459413528442
drone,forward,2,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.37685978955060345,1.0490024483126357,0.007645436702740376,0,300.0,300.5,0.36894824707846413,0.11098102140029183,nan,1.0,5.0,3,83.38636589050293
drone,forward,3,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,5.236491701142017,1.5606758348202787,0.00843644620484105,0,300.0,300.5,0.2287145242070117,0.12642308733029414,nan,1.0,4.25,4,86.97150683403015
drone,forward,4,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,1.9679908173584533,0.7633584258666508,0.014737581396211067,0,300.0,300.5,0.5141903171953256,0.11608488773918636,nan,1.0,5.0,7,90.178640127182
drone,forward,5,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,2.1379889271828745,0.5176571151696778,0.006223952188965967,0,300.0,300.5,0.32053422370617696,0.1262337203241056,nan,1.0,5.0,3,82.2732789516449
drone,forward,6,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,3.0731186739486867,0.5783860001609356,0.01493314637997008,0,300.0,300.5,0.42237061769616024,0.19397358615802468,nan,1.0,8.0,4,85.66350936889648
drone,forward,7,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.29083927998059333,0.3734829839650425,0.0066028778657160475,0,300.0,300.5,0.31886477462437396,0.0810338919439615,nan,1.0,2.75,2,82.28200101852417
drone,sweep,1,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.677464795916471,0.3922204743080846,0.00866086381014672,0,300.0,300.5,0.48414023372287146,11.998486138049897,nan,1.0,5.0,6,78.53832817077637
drone,sweep,0,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.03401850166973724,0.4035341059362355,0.0033815546523282003,0,300.0,300.5,0.4757929883138564,12.053791148656359,nan,1.0,7.25,6,81.39234733581543
drone,sweep,2,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.5319730521664802,0.9045529458614738,0.006584709502893101,0,300.0,300.5,0.44741235392320533,11.98974651502966,nan,1.0,13.5,6,79.13818883895874
drone,sweep,3,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,1.1698263629702161,4.724271230711516,0.014614798772799026,0,300.0,300.5,0.4507512520868113,12.124210158443892,nan,1.0,6.0,6,82.94294333457947
drone,sweep,5,junction,300.0,1.0,1.0,1.0,90.0,30.0,0.02,0.0028264114279125683,0.22542359526340572,3.8184911593076523,0.014854875245880873,0,300.0,300.5,0.4073455759599332,11.812832504977257,nan,1.0,4.75,6,78.04415154457092
