platform,policy,seed,world,length_m,range_scale,odom_scale,marker_height_m,fov_deg,sensor_range_m,odom_scale_sigma,ratio_threshold,final_along_m,final_lateral_m,final_rot_rad,markers_placed,path_length_m,mission_time_s,blind_fraction,mean_yaw_rate_dps,glance_fraction,scale_estimate,lead_time_median_s,lead_time_n,wall_time_s
ugv,scheduler,4,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.8715413372555076,1.4042160649307265,0.07334435403467637,22,300.0,300.5,0.7829716193656093,0.0,nan,0.9935188452491331,0.5,1,25.092939853668213
ugv,scheduler,5,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.4322292940800594,0.7939184531884442,0.045564332740025325,22,300.0,300.5,0.7996661101836394,0.0,nan,0.9940703448459037,0.5,1,25.485310316085815
ugv,scheduler,6,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.263903816026982,0.7270298024112526,0.026057174721509143,23,300.0,300.5,0.8514190317195326,0.0,nan,1.0174864399294552,1.0,1,25.472102403640747
ugv,scheduler,7,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.7323338321572805,1.6586118583366476,0.016637064334571117,23,300.0,300.5,0.8447412353923205,0.0,nan,0.9994277950519431,0.5,1,25.157474756240845
ugv,oracle_12,0,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.3063987367564778,0.5791110359863717,0.01983462329260185,12,300.0,300.5,0.8547579298831386,0.0,nan,1.0049057702924775,1.0,1,25.06454873085022
ugv,oracle_12,1,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.811050366278778,0.6579832652450016,0.014816949223214335,12,300.0,300.5,0.8414023372287145,0.0,nan,1.0021220932059691,0.0,1,25.08565878868103
ugv,oracle_12,2,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.5173429581254254,1.9093240631392467,0.06416459607670813,12,300.0,300.5,0.67779632721202,0.0,nan,0.9959971135705806,1.5,1,25.353906393051147
ugv,oracle_12,3,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,5.478090459078146,1.5367535484242227,0.10150049593350868,12,300.0,300.5,0.8430717863105175,0.0,nan,1.0251791866616755,0.5,1,25.156900644302368
ugv,oracle_12,4,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.703221151157095,1.3989954692708404,0.02482813628124447,12,300.0,300.5,0.9549248747913188,0.0,nan,0.997926022197248,0.5,1,24.92811608314514
ugv,oracle_12,5,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.3674336061680492,0.6169324529025021,0.0913238744583628,12,300.0,300.5,0.7779632721202003,0.0,nan,0.9856602405324136,0.5,1,24.716299057006836
ugv,oracle_12,6,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.48892853048948837,0.28946642475196693,0.01213498808017714,12,300.0,300.5,0.9415692821368948,0.0,nan,1.0117339579093694,1.0,1,25.077470541000366
ugv,oracle_12,7,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.4136829110087774,1.7329334278105262,0.0454029515272816,12,300.0,300.5,0.9065108514190318,0.0,nan,0.9988935977666351,0.5,1,24.86377716064453
ugv,oracle_24,0,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.4607566183389054,0.25709891771356125,0.057664166650983124,24,300.0,300.5,0.8230383973288815,0.0,nan,1.005558386165183,1.0,1,25.102232694625854
ugv,oracle_24,1,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.0364145156028712,0.8428990248325798,0.044440510925702136,24,300.0,300.5,0.8297161936560935,0.0,nan,1.0024273643681563,0.0,1,25.03225588798523
ugv,oracle_24,2,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,1.7746234705811048,1.7846245012336925,0.06769444320772414,24,300.0,300.5,0.7395659432387313,0.0,nan,1.0000024296454544,1.5,1,25.40812611579895
ugv,oracle_24,3,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,0.5317147758237866,2.0622598862992056,0.028860859197121166,24,300.0,300.5,0.7078464106844741,0.0,nan,1.0181665802756705,0.5,1,25.268717527389526
ugv,oracle_24,4,blind,300.0,1.0,1.0,1.0,360.0,10.0,0.02,0.0018445884928346022,2.310107941056856,1.6489627237005404,0.061911173858549745,24,300.0,300.5,0.8564273789649416,0.0,nan,0.9978176944534558,0.5,1,25.09012484550476
