policy,seed,gicp_ratio_floor,markers_placed,final_drift_m,final_along_m,final_lateral_m,final_rot_rad,max_drift_m,drift_per_100m,path_length_m,landmark_steps
uniform_8m,0,0.001880742349913549,36,0.9133384385853105,0.627437167495259,0.6637090508972884,0.01211197745120862,1.334837339399892,0.3044461461951035,300.0,360
uniform_8m,1,0.001880742349913549,37,1.1373671006464419,0.37838772391870634,1.0725794385594543,0.014000353289008654,1.1373671006464419,0.3791223668821473,300.0,363
uniform_8m,2,0.001880742349913549,36,1.922805441543183,0.7491148476528906,1.770877666879918,0.017395534092813938,1.9298377716141184,0.640935147181061,300.0,358
uniform_8m,3,0.001880742349913549,38,2.9647298387363294,2.7531870639499516,1.0998108962872615,0.05581925300840765,3.024264928855901,0.9882432795787764,300.0,376
uniform_8m,4,0.001880742349913549,36,3.2885575787681494,2.742645349531074,1.8145267800638838,0.014660073688236807,3.294296795854301,1.0961858595893832,300.0,355
uniform_8m,5,0.001880742349913549,36,3.0794745726579587,2.99207385382374,0.7284625569727449,0.025192244053147093,3.0929971486339065,1.0264915242193196,300.0,355
uniform_8m,6,0.001880742349913549,38,1.2516557137702655,0.8882996404695405,0.8817969009672456,0.034670303385387555,1.2516557137702655,0.41721857125675516,300.0,372
uniform_8m,7,0.001880742349913549,36,2.6393441352356417,1.2545171126200216,2.322137868074654,0.011297389398201794,2.6393441352356417,0.8797813784118805,300.0,356
on_failure,0,0.001880742349913549,26,1.169436487038402,0.8198183096521916,0.8339542171940508,0.01196532606170671,1.169436487038402,0.389812162346134,300.0,255
on_failure,1,0.001880742349913549,29,2.0479305303771658,1.1813395326336718,1.6728587405659083,0.024688234717876567,2.0479305303771658,0.682643510125722,300.0,284
on_failure,2,0.001880742349913549,39,1.46345541144795,1.0449375313578457,1.0246010427752161,0.024842155012606115,1.46345541144795,0.4878184704826501,300.0,385
on_failure,3,0.001880742349913549,31,4.660838955346072,4.435508447943391,1.4316719512144767,0.07414100700031503,4.680268675625699,1.5536129851153573,300.0,303
on_failure,4,0.001880742349913549,28,3.898589974649175,3.5860244322819312,1.5295203697604374,0.01700089680545238,3.898589974649175,1.299529991549725,300.0,274
on_failure,5,0.001880742349913549,37,3.756176700319073,3.624935702652863,0.9842278982291008,0.04130968030961321,3.7749659521252643,1.2520589001063576,300.0,365
on_failure,6,0.001880742349913549,26,2.7897030418982562,2.34547208977267,1.5103654319646647,0.051249621457667247,2.808990477602971,0.9299010139660855,300.0,255
